sale_franchise_id,expected_id,search_label,payload_json
3307,3307,인천 강화군 양도면 조산리 754 기타도소매 1360만원,"{""totalAmount"": 1360, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [6], ""isFranchise"": ""1"", ""isFranchiseLabel"": ""개인"", ""address"": {""sidoName"": ""인천"", ""gunName"": ""강화군"", ""dongName"": ""양도면""}, ""addressLabel"": ""인천 강화군 양도면 조산리 754"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""상관없음"", ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""option"": [], ""optionLabel"": ""없음"", ""categoryLabel"": ""기타도소매""}"
3306,3306,경기 의정부시 가금로 29 스포츠 2460만원,"{""totalAmount"": 2460, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [18], ""isFranchise"": ""1"", ""isFranchiseLabel"": ""개인"", ""address"": {""sidoName"": ""경기"", ""gunName"": ""의정부시"", ""dongName"": """"}, ""addressLabel"": ""경기 의정부시 가금로 29"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""상관없음"", ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""option"": [], ""optionLabel"": ""없음"", ""categoryLabel"": ""스포츠""}"
3305,3305,경기 의정부시 가금로 29 교육 122112만원,"{""totalAmount"": 122112, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [61], ""isFranchise"": ""1"", ""isFranchiseLabel"": ""개인"", ""address"": {""sidoName"": ""경기"", ""gunName"": ""의정부시"", ""dongName"": """"}, ""addressLabel"": ""경기 의정부시 가금로 29"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""상관없음"", ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""option"": [], ""optionLabel"": ""없음"", ""categoryLabel"": ""교육""}"
3304,3304,제주특별자치도 제주시 가령골길 1 서양식 1100만원,"{""totalAmount"": 1100, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [15], ""isFranchise"": ""1"", ""isFranchiseLabel"": ""개인"", ""address"": {""sidoName"": ""제주특별자치도"", ""gunName"": ""제주시"", ""dongName"": """"}, ""addressLabel"": ""제주특별자치도 제주시 가령골길 1"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""상관없음"", ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""option"": [], ""optionLabel"": ""없음"", ""categoryLabel"": ""서양식""}"
3303,3303,서울 성동구 가람길 46 커피 20만원,"{""totalAmount"": 20, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [63], ""isFranchise"": ""1"", ""isFranchiseLabel"": ""개인"", ""address"": {""sidoName"": ""서울"", ""gunName"": ""성동구"", ""dongName"": """"}, ""addressLabel"": ""서울 성동구 가람길 46"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""상관없음"", ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""option"": [], ""optionLabel"": ""없음"", ""categoryLabel"": ""커피""}"
3302,3302,서울 도봉구 덕릉로 214 이사 490만원,"{""totalAmount"": 490, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [28], ""isFranchise"": ""1"", ""isFranchiseLabel"": ""개인"", ""address"": {""sidoName"": ""서울"", ""gunName"": ""도봉구"", ""dongName"": """"}, ""addressLabel"": ""서울 도봉구 덕릉로 214"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""상관없음"", ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""option"": [], ""optionLabel"": ""없음"", ""categoryLabel"": ""이사""}"
3301,3301,서울 성동구 고산자로 71 커피 1100만원,"{""totalAmount"": 1100, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [63], ""isFranchise"": ""1"", ""isFranchiseLabel"": ""개인"", ""address"": {""sidoName"": ""서울"", ""gunName"": ""성동구"", ""dongName"": """"}, ""addressLabel"": ""서울 성동구 고산자로 71"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""상관없음"", ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""option"": [], ""optionLabel"": ""없음"", ""categoryLabel"": ""커피""}"
3300,3300,서울 광진구 강변역로 2 한식 122만원,"{""totalAmount"": 122, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [42], ""isFranchise"": ""1"", ""isFranchiseLabel"": ""개인"", ""address"": {""sidoName"": ""서울"", ""gunName"": ""광진구"", ""dongName"": """"}, ""addressLabel"": ""서울 광진구 강변역로 2"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""상관없음"", ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""option"": [], ""optionLabel"": ""없음"", ""categoryLabel"": ""한식""}"
3299,3299,경기 시흥시 은계로338번길 38 기타서비스 3000만원,"{""totalAmount"": 3000, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [57], ""isFranchise"": ""1"", ""isFranchiseLabel"": ""개인"", ""address"": {""sidoName"": ""경기"", ""gunName"": ""시흥시"", ""dongName"": """"}, ""addressLabel"": ""경기 시흥시 은계로338번길 38"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""상관없음"", ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""option"": [], ""optionLabel"": ""없음"", ""categoryLabel"": ""기타서비스""}"
3298,3298,서울 성동구 성수일로 1 한식 20만원,"{""totalAmount"": 20, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [42], ""isFranchise"": ""1"", ""isFranchiseLabel"": ""개인"", ""address"": {""sidoName"": ""서울"", ""gunName"": ""성동구"", ""dongName"": """"}, ""addressLabel"": ""서울 성동구 성수일로 1"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""상관없음"", ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""option"": [], ""optionLabel"": ""없음"", ""categoryLabel"": ""한식""}"
3297,3297,서울 성동구 가람길 46 커피 20만원,"{""totalAmount"": 20, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [63], ""isFranchise"": ""1"", ""isFranchiseLabel"": ""개인"", ""address"": {""sidoName"": ""서울"", ""gunName"": ""성동구"", ""dongName"": """"}, ""addressLabel"": ""서울 성동구 가람길 46"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""상관없음"", ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""option"": [], ""optionLabel"": ""없음"", ""categoryLabel"": ""커피""}"
3296,3296,서울 성동구 연무장5가길 7 커피 5200만원,"{""totalAmount"": 5200, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [63], ""isFranchise"": ""0"", ""isFranchiseLabel"": ""프랜차이즈"", ""address"": {""sidoName"": ""서울"", ""gunName"": ""성동구"", ""dongName"": """"}, ""addressLabel"": ""서울 성동구 연무장5가길 7"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""상관없음"", ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""option"": [], ""optionLabel"": ""없음"", ""categoryLabel"": ""커피""}"
3295,3295,경기 화성시 능동 1156-8 교육 20만원,"{""totalAmount"": 20, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [61], ""isFranchise"": ""1"", ""isFranchiseLabel"": ""개인"", ""address"": {""sidoName"": ""경기"", ""gunName"": ""화성시"", ""dongName"": ""능동""}, ""addressLabel"": ""경기 화성시 능동 1156-8"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""상관없음"", ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""option"": [], ""optionLabel"": ""없음"", ""categoryLabel"": ""교육""}"
3294,3294,서울 성동구 가람길 46 스포츠 240만원,"{""totalAmount"": 240, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [18], ""isFranchise"": ""1"", ""isFranchiseLabel"": ""개인"", ""address"": {""sidoName"": ""서울"", ""gunName"": ""성동구"", ""dongName"": """"}, ""addressLabel"": ""서울 성동구 가람길 46"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""상관없음"", ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""option"": [], ""optionLabel"": ""없음"", ""categoryLabel"": ""스포츠""}"
3293,3293,서울 성동구 강변북로 257 교육 240만원,"{""totalAmount"": 240, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [61], ""isFranchise"": ""1"", ""isFranchiseLabel"": ""개인"", ""address"": {""sidoName"": ""서울"", ""gunName"": ""성동구"", ""dongName"": """"}, ""addressLabel"": ""서울 성동구 강변북로 257"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""상관없음"", ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""option"": [], ""optionLabel"": ""없음"", ""categoryLabel"": ""교육""}"
3292,3292,서울 성동구 성수일로 1 자동차 140만원,"{""totalAmount"": 140, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [23], ""isFranchise"": ""1"", ""isFranchiseLabel"": ""개인"", ""address"": {""sidoName"": ""서울"", ""gunName"": ""성동구"", ""dongName"": """"}, ""addressLabel"": ""서울 성동구 성수일로 1"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""상관없음"", ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""option"": [], ""optionLabel"": ""없음"", ""categoryLabel"": ""자동차""}"
3291,3291,서울 성동구 강변북로 257 자동차 240만원,"{""totalAmount"": 240, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [23], ""isFranchise"": ""1"", ""isFranchiseLabel"": ""개인"", ""address"": {""sidoName"": ""서울"", ""gunName"": ""성동구"", ""dongName"": """"}, ""addressLabel"": ""서울 성동구 강변북로 257"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""상관없음"", ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""option"": [], ""optionLabel"": ""없음"", ""categoryLabel"": ""자동차""}"
3290,3290,서울 성동구 강변북로 257 자동차 240만원,"{""totalAmount"": 240, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [23], ""isFranchise"": ""1"", ""isFranchiseLabel"": ""개인"", ""address"": {""sidoName"": ""서울"", ""gunName"": ""성동구"", ""dongName"": """"}, ""addressLabel"": ""서울 성동구 강변북로 257"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""상관없음"", ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""option"": [], ""optionLabel"": ""없음"", ""categoryLabel"": ""자동차""}"
3289,3289,서울 성동구 고산자로 12 스포츠 240만원,"{""totalAmount"": 240, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [18], ""isFranchise"": ""1"", ""isFranchiseLabel"": ""개인"", ""address"": {""sidoName"": ""서울"", ""gunName"": ""성동구"", ""dongName"": """"}, ""addressLabel"": ""서울 성동구 고산자로 12"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""상관없음"", ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""option"": [], ""optionLabel"": ""없음"", ""categoryLabel"": ""스포츠""}"
3288,3288,서울 성동구 강변북로 360 한식 240만원,"{""totalAmount"": 240, ""monthlyAvgSales"": ""ANY"", ""monthlyAvgSalesLabel"": """", ""mainCategoryId"": [], ""subCategoryId"": [42], ""isFranchise"": ""1"", ""isFranchiseLabel"": ""개인"", ""address"": {""sidoName"": ""서울"", ""gunName"": ""성동구"", ""dongName"": """"}, ""addressLabel"": ""서울 성동구 강변북로 360"", ""exclusiveArea"": ""ANY"", ""exclusiveAreaLabel"": ""상관없음"", ""includeSelf"": true, ""excludeSelf"": false, ""topK"": 50, ""option"": [], ""optionLabel"": ""없음"", ""categoryLabel"": ""한식""}"
